image_id,ceramic_type,where_held,museum_no,source,page
VA55,plate,VA_London,no_472-1892,web,http://collections.vam.ac.uk/item/O224005/dish-unknown/
VA56,tile,VA_London,no_C.4-1953,web,http://collections.vam.ac.uk/item/O182630/tile-unknown/
VA57,plate,VA_London,no_717-1893,web,http://collections.vam.ac.uk/item/O224691/plate-unknown/
VA58,tile,VA_London,no_189:4-1881,web,http://collections.vam.ac.uk/item/O213634/tile-unknown/
VA59_1,tile,VA_London,no_1886:1to8-1897,web,http://collections.vam.ac.uk/item/O40403/tile-panel-unknown/
VA59_2,tile,VA_London,no_1886:1to8-1897,web,http://collections.vam.ac.uk/item/O40403/tile-panel-unknown/
VA59_3,tile,VA_London,no_1886:1to8-1897,web,http://collections.vam.ac.uk/item/O40403/tile-panel-unknown/
VA60,tile,VA_London,no_1308A-1893,web,http://collections.vam.ac.uk/item/O224800/tile-unknown/
VA61,tile,VA_London,no_447A-1900,web,http://collections.vam.ac.uk/item/O202711/tile-unknown/
VA62,tile,VA_London,no_447-1900,web,http://collections.vam.ac.uk/item/O202709/tile-unknown/
VA63,plate,VA_London,no_726-1893,web,http://collections.vam.ac.uk/item/O224699/plate-unknown/
VA64,plate,VA_London,no_948-1898,web,http://collections.vam.ac.uk/item/O199675/dish-unknown/
VA65,tile,VA_London,no_CIRC.31-1953,web,http://collections.vam.ac.uk/item/O225318/tile-unknown/
VA66,plate,VA_London,no_C.2034-1910,web,http://collections.vam.ac.uk/item/O211519/dish-unknown/
